timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747329802653,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802653,3,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,3,0,0
1747329802656,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802656,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802658,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802658,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802659,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802660,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802661,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802665,3,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,3,0,0
1747329802664,4,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,4,0,0
1747329802669,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802669,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802670,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802670,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802672,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802672,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802674,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
